Drug idxs,Drug IDs
182,DB00374
745,DB08895
758,DB00006
819,DB01609
822,DB00441
826,DB06228
985,DB01223
988,DB00651
991,DB06414
994,DB01303
997,DB01265
1000,DB00277
1096,DB00727
1099,DB00208
1973,DB00771
1976,DB01409
1979,DB01036
1982,DB00376
1985,DB00662
1988,DB00209
2506,DB01041
3198,DB00035
3371,DB01551
3706,DB06769
3709,DB06813
3946,DB01013
3949,DB00838
4230,DB01193
4233,DB00335
4236,DB00612
4239,DB01136
4242,DB00647
4245,DB00280
4248,DB00584
4251,DB00668
4254,DB00187
4257,DB01039
4260,DB00472
4263,DB00999
4266,DB00678
4269,DB00104
4272,DB00806
4275,DB01278
4278,DB00635
4281,DB00178
4328,DB00195
4331,DB01295
4335,DB00521
4340,DB00598
4343,DB00264
4346,DB01203
4349,DB01580
4352,DB01359
4355,DB00960
4358,DB01297
4361,DB00571
4367,DB00489
4370,DB00373
4801,DB00284
4804,DB00672
4810,DB01120
4813,DB00222
4816,DB01067
4819,DB01016
4832,DB00331
4835,DB00491
4838,DB00731
4841,DB01132
4844,DB00412
4847,DB06335
4850,DB01261
4853,DB00839
4856,DB01124
4995,DB00775
5195,DB00758
5204,DB00569
5210,DB01009
5219,DB00500
5223,DB06684
5226,DB00682
5889,DB00495
6221,DB00488
6224,DB00276
6227,DB00928
6230,DB00993
6236,DB00443
6239,DB00290
6242,DB01008
6245,DB01101
6248,DB00958
6251,DB00262
6254,DB00291
6257,DB00515
6260,DB00242
6263,DB00631
6267,DB01380
6270,DB00531
6273,DB00091
6276,DB00987
6279,DB00851
6285,DB00970
6288,DB00694
6291,DB01234
6294,DB01248
6297,DB00997
6303,DB00445
6306,DB00530
6309,DB01196
6312,DB00773
6315,DB00322
6318,DB01073
6321,DB00687
6324,DB00544
6327,DB00317
6331,DB00741
6334,DB01005
6340,DB01177
6343,DB01181
6346,DB00619
6349,DB00762
6352,DB00480
6355,DB01206
6358,DB00888
6361,DB01042
6364,DB01033
6367,DB00563
6370,DB00959
6373,DB00305
6376,DB01204
6382,DB00688
6385,DB01024
6391,DB01280
6394,DB04868
6397,DB00526
6400,DB01229
6403,DB00552
6406,DB00860
6410,DB01168
6417,DB00877
6420,DB00398
6423,DB00428
6426,DB01268
6429,DB00864
6432,DB00853
6435,DB06287
6438,DB00444
6442,DB00352
6445,DB04572
6449,DB01030
6455,DB00755
6458,DB00620
6461,DB00385
6464,DB00570
6467,DB00541
6470,DB00361
6544,DB08822
6549,DB00880
6552,DB00966
6555,DB01162
6560,DB00214
6563,DB00519
6566,DB01021
6569,DB00177
6572,DB00661
6761,DB08810
7198,DB01592
7906,DB00819
7909,DB00437
7912,DB01118
7915,DB01351
7918,DB00681
7921,DB00701
7924,DB01352
7927,DB01072
